24,59,50,61,3,80,66,4,19,33,75,67,64,65,16,46,29,82,55,10,88,86,38,41,27,68,84,56,23,60,40,7,5,0,62,76,2,22,42,32,25,11,13,6,70,49,89,48,8,71,72,77,54,37,30,20,57,45,17,44,28,52,31,9,87,39,12,35,79,85,73,74,21,15,43,58,36,63,47,26,69,34,83,14,81,51,1,53,78,18,1.61462e+07
24,59,50,61,3,80,66,4,64,33,75,67,19,65,16,53,29,82,55,10,88,86,38,41,27,68,84,56,23,60,40,7,5,0,62,76,2,22,42,32,25,11,13,6,70,49,89,48,8,71,72,77,54,37,30,20,57,45,17,44,28,52,31,9,87,39,12,35,79,85,73,74,21,15,43,58,36,63,47,26,69,34,83,14,81,51,1,46,78,18,1.61129e+07
24,59,50,61,3,80,66,4,64,33,75,67,19,65,16,53,29,82,55,10,88,86,38,41,27,68,84,56,81,60,6,7,5,0,62,76,2,22,42,32,25,11,13,40,70,49,89,48,8,71,72,77,54,37,30,20,57,45,17,44,28,52,31,9,87,39,12,35,79,85,73,74,21,15,43,58,36,63,47,26,69,34,83,14,23,51,1,46,78,18,1.60949e+07
24,59,50,61,3,80,66,4,64,33,75,45,19,65,16,53,29,82,55,10,88,86,67,41,27,68,84,56,81,60,6,7,5,0,62,76,2,22,42,32,25,11,13,40,70,49,89,48,8,71,72,77,54,37,30,20,57,38,17,44,28,52,31,9,87,39,12,35,79,85,73,74,21,15,43,58,36,63,47,26,69,34,83,14,23,51,1,46,78,18,1.60808e+07
24,59,50,61,3,80,66,4,64,33,76,45,19,65,16,53,29,82,55,10,88,86,67,41,27,68,84,56,81,60,6,7,5,0,62,25,2,22,42,32,75,11,13,40,70,49,89,48,8,71,72,77,54,37,30,20,57,38,17,44,28,52,31,9,87,39,12,35,79,85,73,74,21,15,43,58,36,63,47,26,69,34,83,14,23,51,1,46,78,18,1.60618e+07
24,59,50,61,3,80,66,4,64,87,76,45,19,65,16,53,29,82,55,10,88,86,67,41,27,68,84,56,81,60,6,7,5,0,62,25,2,22,42,32,75,11,13,40,70,49,89,48,8,71,72,77,54,37,30,20,57,38,17,44,28,52,31,9,33,39,12,78,79,85,73,74,21,15,43,58,36,63,47,26,69,34,83,14,23,51,1,46,35,18,1.60482e+07
24,59,50,61,3,80,66,4,64,87,76,45,19,65,16,53,29,82,55,10,88,86,67,41,27,68,84,6,81,60,52,7,5,0,62,25,2,22,42,32,75,11,13,40,70,49,89,48,8,71,72,77,54,37,30,20,57,38,17,44,28,56,31,9,33,39,12,78,79,85,73,74,21,15,43,58,36,63,47,26,69,34,83,14,23,51,1,46,35,18,1.60223e+07
24,59,50,61,3,80,66,4,15,87,76,45,19,65,16,53,29,82,55,10,88,86,67,41,27,68,84,6,81,60,52,7,5,0,62,25,2,22,42,32,75,11,13,40,44,49,89,48,8,71,72,77,54,37,30,20,57,38,17,39,28,56,31,9,33,64,12,78,79,85,73,74,21,70,43,58,36,63,47,26,69,34,83,14,23,51,1,46,35,18,1.60025e+07
24,59,50,61,3,80,66,4,15,87,76,45,19,65,16,53,29,82,55,10,88,86,67,41,27,68,84,6,81,60,7,31,5,0,62,25,2,22,42,32,75,11,13,40,44,49,89,48,8,71,72,77,54,37,30,20,57,38,17,39,28,56,52,9,33,64,12,78,79,85,73,74,21,70,43,58,36,63,47,26,69,34,83,14,23,51,1,46,35,18,1.599e+07
24,59,50,61,3,80,66,4,15,87,76,45,19,65,16,53,29,82,58,10,88,86,67,41,27,68,84,6,81,60,7,31,5,0,62,25,2,22,42,32,75,11,13,40,44,49,89,48,8,71,72,77,54,37,30,20,57,38,17,39,28,56,52,9,33,64,12,78,79,85,73,74,55,70,43,21,36,63,47,26,69,34,83,14,23,51,1,46,35,18,1.5982e+07
33,82,51,61,46,26,10,31,81,42,45,44,76,79,54,1,72,16,29,40,62,18,57,37,6,22,87,75,49,60,19,48,35,85,4,66,84,67,28,32,59,78,20,36,24,50,73,30,56,9,27,12,80,58,88,47,55,38,25,89,86,43,14,5,21,69,83,17,23,0,41,15,77,65,34,71,3,68,64,52,53,63,2,39,13,74,70,11,7,8,1.5967e+07
33,82,51,61,46,26,10,31,81,42,45,44,50,79,54,1,72,16,29,40,62,18,57,37,6,22,87,75,49,60,19,48,35,85,4,66,84,67,76,32,59,78,20,36,24,28,73,30,56,9,27,12,80,58,88,47,55,38,25,89,86,43,14,5,21,69,83,17,23,0,41,15,77,65,34,71,3,68,64,52,53,63,2,39,13,74,70,11,7,8,1.59509e+07
47,25,51,32,35,49,44,5,28,78,14,56,54,34,15,3,80,60,70,75,37,52,6,62,10,48,11,87,22,12,88,7,71,55,21,2,66,39,81,84,59,33,74,72,27,23,57,31,58,18,53,76,45,67,86,38,65,83,20,82,29,46,41,77,36,9,4,1,26,42,24,0,30,85,40,79,73,19,69,64,61,63,8,68,50,16,43,13,89,17,1.59388e+07
1,49,21,78,59,18,22,58,65,72,79,47,7,10,17,19,32,29,81,14,70,46,44,76,41,84,35,57,36,61,9,53,2,27,33,54,42,52,24,71,64,48,56,73,89,83,55,34,88,13,86,74,30,26,12,5,62,77,85,40,66,37,8,15,25,4,82,67,20,11,51,0,23,28,38,45,68,69,3,87,39,60,75,80,50,63,43,31,16,6,1.5935e+07
