18,98,56,80,36,10,37,99,22,2,50,93,92,8,64,55,27,62,75,21,1,7,78,96,84,94,3,23,15,49,71,12,0,59,68,60,45,51,65,87,41,17,63,70,25,34,46,43,11,16,39,47,53,40,73,86,58,19,38,82,32,6,57,77,48,20,4,30,76,67,91,26,29,28,74,44,88,9,35,61,89,79,72,83,52,54,95,33,85,24,66,42,31,69,90,14,5,81,13,97,2.37521e+07
18,98,56,80,36,10,37,99,22,2,50,1,92,8,64,55,27,62,75,21,32,7,78,96,84,94,3,23,15,49,93,12,0,59,68,60,45,51,65,87,41,17,63,70,25,34,46,43,11,16,39,47,53,40,73,86,58,19,38,82,79,6,57,77,48,20,4,30,76,67,91,26,29,28,74,44,88,9,35,61,89,71,72,83,52,54,95,33,85,24,66,42,31,69,90,14,5,81,13,97,2.37067e+07
32,91,69,45,15,96,97,24,73,34,42,8,72,0,65,83,57,37,13,21,47,3,35,87,22,94,31,99,9,28,25,76,70,44,11,67,50,51,53,19,29,23,4,80,62,88,85,33,81,52,39,10,56,77,26,30,36,17,40,48,86,66,43,68,55,92,1,27,98,58,93,78,90,63,54,95,61,38,16,41,6,18,89,7,74,84,2,20,14,60,12,75,64,82,79,59,49,71,46,5,2.36878e+07
32,91,69,45,15,67,97,24,73,34,42,8,72,0,65,83,57,37,13,21,47,3,35,87,22,94,31,99,9,28,25,76,70,44,11,96,50,51,53,19,29,23,4,80,62,20,85,33,81,52,39,10,56,77,26,30,36,17,40,48,86,66,43,68,55,92,1,27,98,58,93,78,90,63,54,95,61,38,16,41,6,18,89,7,74,84,2,88,14,60,12,75,64,82,79,59,49,71,46,5,2.36285e+07
32,91,69,45,15,67,97,24,73,34,42,8,72,0,65,83,57,37,13,21,47,3,35,87,22,94,31,99,9,28,25,76,70,44,11,96,50,51,53,19,29,23,4,80,62,20,85,33,81,52,39,10,56,77,26,30,36,17,40,48,86,66,43,68,55,92,1,27,98,58,93,78,90,63,54,95,61,38,16,41,6,18,89,7,74,84,2,88,14,60,12,75,64,82,79,59,49,71,46,5,2.36285e+07
35,91,69,45,15,67,97,24,73,34,42,8,72,0,65,83,57,37,13,21,47,3,32,87,22,94,31,99,9,28,25,76,70,44,11,96,50,51,53,19,29,23,4,16,62,20,85,33,81,52,39,10,56,77,26,30,36,17,40,48,86,66,43,68,55,92,1,27,98,58,93,78,90,63,54,95,61,38,80,41,6,18,89,7,74,84,2,88,14,60,12,75,64,82,79,59,49,71,46,5,2.3597e+07
18,2,32,53,63,84,99,7,9,92,72,86,24,66,75,68,4,44,65,55,23,20,10,29,82,95,57,51,79,21,3,71,15,6,62,43,42,14,41,38,80,90,19,13,39,87,26,88,40,69,47,98,49,52,0,31,89,64,59,81,12,77,28,74,60,83,8,97,70,45,78,35,22,73,67,16,17,94,96,37,54,50,91,61,1,85,58,48,5,11,93,30,33,76,25,27,46,36,34,56,2.3584e+07
2,48,18,82,0,63,84,45,8,13,47,34,72,57,67,80,73,83,53,62,23,79,24,97,22,25,3,16,92,46,75,14,65,98,29,26,44,27,49,30,15,19,51,94,50,21,7,59,5,68,20,39,11,88,1,37,58,10,41,60,66,69,52,78,93,81,77,43,85,76,64,12,56,35,31,36,89,6,17,95,96,42,4,74,55,71,33,54,86,70,38,40,91,28,87,32,9,99,90,61,2.35145e+07
2,48,18,82,0,63,84,45,8,13,47,34,72,57,67,80,73,83,53,96,23,79,24,97,22,25,3,16,92,46,75,14,65,98,29,26,44,27,49,30,15,19,51,94,50,21,7,59,5,68,20,39,11,88,1,37,58,10,41,60,66,69,52,78,93,81,77,43,85,76,64,12,56,35,31,36,89,6,17,95,38,42,4,74,55,71,33,54,86,70,62,40,91,28,87,32,9,99,90,61,2.34691e+07
18,2,32,53,63,84,99,7,9,92,31,86,24,66,75,68,4,23,65,55,62,20,10,29,82,95,58,51,79,21,3,71,15,6,44,43,42,14,41,38,80,90,19,13,39,87,26,88,40,69,47,98,49,52,0,72,89,64,59,81,12,77,28,74,60,83,8,97,70,45,78,35,25,73,67,16,17,94,96,22,54,50,91,61,1,85,57,48,5,11,93,30,33,76,37,27,46,36,34,56,2.34653e+07
